Record_ID,ObjectId,Store_Name,State,City,Additonal_Address,County,Grantee_Name,Incentive_Program,Latitude,Longitude,Store_Street_Address,Store_Type,Zip4,Zip_Code
1047872,86718,Super Giant Store 2306,MD,Baltimore,,Baltimore City,,,39.337749,-76.635658,1020 West 41st St,Super Store,,21211
1097842,86821,Royal Farms 174,MD,Sykesville,,Carroll,,,39.403324,-76.953918,1209 Liberty Rd,Convenience Store,7927.0,21784
1097845,86829,Royal Farms 188,MD,Aberdeen,,Harford,,,39.497242,-76.177704,742 S Philadelphia Blvd,Convenience Store,3602.0,21001
1046212,86847,ALDI 71036,MD,Camp Springs,,Prince Georges,,,38.801517,-76.909286,6400 Allentown Rd,Supermarket,2611.0,20748
1048857,86899,Walgreens 12560,MD,Pikesville,,Baltimore,,,39.377769,-76.726921,1510 Reisterstown Rd,Other,3814.0,21208
1299064,87043,ALDI 71084,MD,Eldersburg,Suite B,Carroll,,,39.403465,-76.948257,1320 Liberty Road,Supermarket,5302.0,21784
1101780,87080,Brother's Grocery,MD,Baltimore,,Baltimore City,,,39.322563,-76.566666,3232 Chesterfield Avenue,Grocery Store,,21213
1101195,87153,DOLLAR GENERAL 14562,MD,Annapolis,,Anne Arundel,,,38.948383,-76.49247,123 Hillsmere Dr,Other,3920.0,21403
1298557,87157,Trader Joe's 622,DC,Washington,,Dist Of Columbia,,,38.884556,-76.99543,750 Pennsylvania Ave SE,Supermarket,2199.0,20003
1441166,87285,7-eleven 33051d,MD,Lutherville Timonium,,Baltimore,,,39.458096,-76.641197,9709 Beaver Dam Rd,Convenience Store,2244.0,21093
1101885,87290,University Market 2,MD,Baltimore,Ste G,Baltimore City,,,39.327042,-76.615852,3201 Saint Paul St,Grocery Store,3497.0,21218
1099202,87329,DOLLAR GENERAL 14175,MD,Sparrows Point,,Baltimore,,,39.242214,-76.449181,6808 N Pt Rd,Other,1214.0,21219
1298107,87402,Menick's Market,DC,Washington,,Dist Of Columbia,,,38.900448,-76.93914,4401 Nannie Helen Burroughs Ave Ne,Convenience Store,3644.0,20019
1441221,87510,Elmira Market,DC,Washington,,Dist Of Columbia,DC Central Kitchen Inc,,38.825893,-77.007629,4401 S Capitol St SW,Grocery Store,2107.0,20032
1441229,87530,Sheetz 696,MD,Frederick,,Frederick,,,39.459423,-77.406662,23 Thomas Johnson Dr,Convenience Store,4301.0,21702
1680524,87833,Dc Mini Supermarket,DC,Washington,,Dist Of Columbia,,,38.915146,-77.012413,1828 1st St NW,Convenience Store,1067.0,20001
1298402,87870,Dollar General 19134,MD,Capitol Heights,,Prince Georges,,,38.8885,-76.849663,9033 Central Ave,Other,3805.0,20743
1441084,87932,7-ELEVEN 36701J,DC,Washington,NANNIE,Dist Of Columbia,,,38.898811,-76.932426,4854 N H Burroughs Ave NE,Convenience Store,3634.0,20019
1441090,87949,7-eleven 32311c,MD,Pasadena,,Anne Arundel,,,39.127918,-76.539886,2800 Mountain Rd,Convenience Store,2006.0,21122
1060613,88164,Wegmans 47,MD,Columbia,,Howard,,,39.186726,-76.818909,8855 McGaw Rd,Supermarket,4713.0,21045
1060723,88547,Dollar Tree 4992,MD,Bowie,,Prince Georges,,,38.945873,-76.736061,15461 Excelsior Dr,Other,2208.0,20716
1599731,88673,Makkah Farm,MD,Brandywine,,Prince Georges,,,38.679531,-76.804611,15526 Brandywine Rd,Farmers and Markets,3210.0,20613
1112881,89099,Shore Stop 242,MD,Stevensville,,Queen Annes,,,38.974716,-76.324295,201 Romancoke Rd,Convenience Store,2635.0,21666
1112884,89100,Shore Stop 239,MD,Stevensville,,Queen Annes,,,38.98225,-76.319008,100 Main St,Convenience Store,2159.0,21666
929409,89126,Royal Farms 5,MD,Salisbury,,Wicomico,,,38.34761,-75.581398,901 Snow Hill Rd,Convenience Store,1939.0,21804
928531,89229,Columbia Halal Meat,MD,Elkridge,Ste J,Howard,,,39.191715,-76.79348,6520 Old Waterloo Rd,Grocery Store,6442.0,21075
1051053,90099,Royal Farms 100,MD,Baltimore,,Baltimore City,,,39.287903,-76.613976,36 Light St,Convenience Store,1007.0,21202
870180,90345,SAFEWAY 2764,MD,Arnold,,Anne Arundel,,,39.030277,-76.504005,1451 Ritchie Hwy,Supermarket,2557.0,21012
870677,90580,Walgreens 10063,MD,La Plata,,Charles,,,38.538692,-76.983887,6300 Crain Hwy,Other,4259.0,20646
870678,90586,Walgreens 10071,DC,Washington,,Dist Of Columbia,,,38.90559,-77.048729,1217 22nd St NW,Other,1299.0,20037
1104034,91216,DOLLAR GENERAL 13939,MD,Mechanicsville,,St Marys,,,38.427418,-76.71772,27300 Old Village Rd,Other,,20659
1103696,91369,Sheetz 519,MD,Frederick,,Frederick,,,39.398586,-77.406021,6050 Buckeystown Pike,Convenience Store,7293.0,21704
1106772,91412,DOLLAR GENERAL 13957,MD,Joppa,,Harford,,,39.429569,-76.356735,518 Pulaski Hwy,Other,3702.0,21085
1106778,91414,DOLLAR GENERAL 13998,MD,Centreville,,Queen Annes,,,39.040661,-76.058029,545 Railroad Ave,Other,1131.0,21617
1106781,91416,DOLLAR GENERAL 370,MD,Federalsburg,,Caroline,,,38.696163,-75.786133,324 Bloomingdale Ave,Other,1728.0,21632
1052187,91521,Dollar General 13751,MD,Nottingham,,Baltimore,,,39.393929,-76.487701,8716 Belair Rd,Other,2420.0,21236
1106175,91655,Dollar Tree 5258,MD,Riverdale,B,Prince Georges,,,38.96376,-76.920273,6250 Kenilworth Ave,Other,,20737
1442054,91722,Royal Farms 326,MD,Upper Marlboro,,Prince Georges,,,38.815762,-76.779549,5351 Ritchie Marlboro Rd,Convenience Store,,20773
