record_id,object_id,name,address,additional_address,city,county,state,zip,latitude,longitude,store_type
1266124,151126,Wawa 8513,1001 W Patrick St,,Frederick,Frederick,MD,21702,39.416847,-77.441345,Convenience Store
1385760,151215,Luckies Severn,8290 Portsmouth Dr,,Severn,Anne Arundel,MD,21144,39.116497,-76.681122,Convenience Store
1264355,151341,Family Dollar 11835,7002 Reisterstown Rd,,Baltimore,Baltimore City,MD,21215,39.362675,-76.711044,Other
1264633,151424,Mas Inc,3710 Minnesota Ave NE,,Washington,Dist Of Columbia,DC,20019,38.890808,-76.952377,Convenience Store
1264888,151490,Family Dollar 11597,3432 Frederick Ave,,Baltimore,Baltimore City,MD,21229,39.281567,-76.674759,Other
1265318,151524,CVS Pharmacy 03045,157 Ritchie Hwy,,Severna Park,Anne Arundel,MD,21146,39.098942,-76.564964,Other
1265326,151525,CVS Pharmacy 10321,2 Ashton Rd,,Ashton,Montgomery,MD,20861,39.149475,-77.012009,Other
1267047,151586,Royal Farms 178,10633 Ocean Gtwy,,Berlin,Worcester,MD,21811,38.342804,-75.191933,Convenience Store
1386708,151610,Super 24 Market,8530 Washington Blvd,Ste 4,Jessup,Howard,MD,20794,39.147556,-76.806549,Grocery Store
1267132,151617,ALDI 71070,2223 Bel Pre Rd,,Silver Spring,Montgomery,MD,20906,39.090542,-77.047447,Supermarket
1266775,151695,Ivy City Smokehouse,1356 Okie St Ne,,Washington,Dist Of Columbia,DC,20002,38.914467,-76.985489,Specialty Store
1386976,151747,Mi Pueblo Internatiional Market,1170 W Patrick St,Ste K,Frederick,Frederick,MD,21703,39.418041,-77.449631,Grocery Store
1387031,151781,Outpost 544,1921 Dudley Corners Rd,,Millington,Queen Annes,MD,21651,39.23164,-75.913101,Convenience Store
1385950,151913,ALDI 176,3331 B Corridor Marketplace,,Laurel,Anne Arundel,MD,20724,39.096001,-76.806862,Supermarket
1387673,152014,Lidl 1093,3461 Promenade Place,,Waldorf,Charles,MD,20603,38.614666,-76.935356,Super Store
1387713,152033,Us Mart,2139 Dundalk Ave,,Dundalk,Baltimore,MD,21222,39.264965,-76.527283,Convenience Store
1459956,152146,Open Book Farm,6600B Roy Shafer Rd,,Middletown,Frederick,MD,21769,39.413895,-77.55677,Farmers and Markets
